name, size, width, height
P_PF_Marutea_Sud_Atoll_l64.jpg,"(750, 391)",391,750
P_PF_Marutea_Sud_Atoll_l8.jpg,"(750, 391)",391,750
P_PF_Matureivavao_Atoll_l64.jpg,"(232, 220)",220,232
P_PF_Matureivavao_Atoll_l8.jpg,"(232, 220)",220,232
P_PF_Maupihaa_Atoll_l64.jpg,"(324, 342)",342,324
P_PF_Maupihaa_Atoll_l8.jpg,"(324, 342)",342,324
P_PF_Moruoa_Atoll_l64.jpg,"(999, 449)",449,999
P_PF_Moruoa_Atoll_l8.jpg,"(999, 449)",449,999
P_PF_Motu_One_Atoll_l64.jpg,"(169, 152)",152,169
P_PF_Motu_One_Atoll_l8.jpg,"(169, 152)",152,169
P_PF_Motutunga_Atoll_l64.jpg,"(806, 711)",711,806
P_PF_Motutunga_Atoll_l8.jpg,"(806, 711)",711,806
P_PF_Nengonengo_Atoll_l64.jpg,"(592, 550)",550,592
P_PF_Nengonengo_Atoll_l8.jpg,"(592, 550)",550,592
P_PF_Niau_Atoll_l64.jpg,"(633, 548)",548,633
P_PF_Niau_Atoll_l8.jpg,"(633, 548)",548,633
P_PF_Nihiru_Atoll_l64.jpg,"(571, 654)",654,571
P_PF_Nihiru_Atoll_l8.jpg,"(571, 654)",654,571
P_PF_Paraoa_Atoll_l64.jpg,"(379, 322)",322,379
P_PF_Paraoa_Atoll_l8.jpg,"(379, 322)",322,379
P_PF_Pukarua_Atoll_l64.jpg,"(442, 407)",407,442
P_PF_Pukarua_Atoll_l8.jpg,"(442, 407)",407,442
P_PF_Rangiroa_Atoll_l64.jpg,"(3446, 2066)",2066,3446
P_PF_Rangiroa_Atoll_l8.jpg,"(3446, 2066)",2066,3446
P_PF_Raraka_Atoll_l64.jpg,"(1448, 1174)",1174,1448
P_PF_Raraka_Atoll_l8.jpg,"(1448, 1174)",1174,1448
P_PF_Raroia_Atoll_l64.jpg,"(1122, 1450)",1450,1122
P_PF_Raroia_Atoll_l8.jpg,"(1122, 1450)",1450,1122
P_PF_Ravahere_Atoll_l64.jpg,"(515, 760)",760,515
P_PF_Ravahere_Atoll_l8.jpg,"(515, 760)",760,515
P_PF_Reao_Atoll_l64.jpg,"(694, 471)",471,694
P_PF_Reao_Atoll_l8.jpg,"(694, 471)",471,694
P_PF_Reitoru_Atoll_l64.jpg,"(266, 301)",301,266
P_PF_Reitoru_Atoll_l8.jpg,"(266, 301)",301,266
P_PF_Scilly_Atoll_l64.jpg,"(455, 443)",443,455
P_PF_Scilly_Atoll_l8.jpg,"(455, 443)",443,455
P_PF_Taenga_Atoll_l64.jpg,"(1081, 734)",734,1081
P_PF_Taenga_Atoll_l8.jpg,"(1081, 734)",734,1081
P_PF_Tahanea_Atoll_l64 (1).jpg,"(1856, 1229)",1229,1856
P_PF_Tahanea_Atoll_l64.jpg,"(1856, 1229)",1229,1856
P_PF_Tahanea_Atoll_l8.jpg,"(1856, 1229)",1229,1856
P_PF_Taiaro_Atoll_l64 (1).jpg,"(337, 344)",344,337
P_PF_Taiaro_Atoll_l64.jpg,"(337, 344)",344,337
P_PF_Taiaro_Atoll_l8.jpg,"(337, 344)",344,337
P_PF_Takapoto_Atoll_l64.jpg,"(648, 824)",824,648
P_PF_Takapoto_Atoll_l8.jpg,"(648, 824)",824,648
P_PF_Takaroa_Atoll_l64.jpg,"(1020, 706)",706,1020
P_PF_Takaroa_Atoll_l8.jpg,"(1020, 706)",706,1020
P_PF_Takume_Atoll_l64.jpg,"(750, 691)",691,750
P_PF_Takume_Atoll_l8.jpg,"(750, 691)",691,750
P_PF_Tatakoto_Island_l64.jpg,"(504, 145)",145,504
P_PF_Tatakoto_Island_l8 (1).jpg,"(504, 145)",145,504
